name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Autoimmune Encephilitis Antibodies Profile (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Autoimmune encephalitis is a group of encephalitis syndromes that cause altered mentality, memory decline, or seizures in association with the presence of serum and cerebrospinal fluid (CSF) autoantibodies (auto-Abs). An early diagnosis enables early treatments. The detection of auto-Abs is a confirmatory diagnosis","آٹومیمون انسیفلائٹس انسیفلائٹس سنڈروم کا ایک گروپ ہے جو سیرم اور دماغی اسپائنل فلوئڈ (CSF) آٹو اینٹی باڈیز (آٹو-ایبس) کی موجودگی کے ساتھ تبدیل شدہ ذہنیت، یادداشت میں کمی، یا دوروں کا سبب بنتا ہے۔ ابتدائی تشخیص جلد علاج کے قابل بناتا ہے۔ Auto-Abs کا پتہ لگانا ایک تصدیقی تشخیص ہے۔"
B/N Ratio,Test,,,,"A total protein and albumin/globulin  ratio test measures the total amount of protein in your blood. There are two major types of protein in the blood: Albumin, which helps keep blood from leaking out of blood vessels.","کل پروٹین اور البومین/گلوبلین تناسب ٹیسٹ آپ کے خون میں پروٹین کی کل مقدار کی پیمائش کرتا ہے۔ خون میں پروٹین کی دو بڑی اقسام ہیں: البومین، جو خون کو خون کی نالیوں سے خارج ہونے سے روکنے میں مدد کرتا ہے۔"
Barbiturates / Phenobarbitone ( Spot Urine),Test,Chem & Immuno,Urine,,This test is used to detect levels of drugs in the body.,یہ ٹیسٹ جسم میں منشیات کی سطح کا پتہ لگانے کے لیے استعمال ہوتا ہے۔
BCR-ABL by PCR (Quantitative),Test,Molecular,Plasma (EDTA / Purple Tube),,The BCR-ABL gene contains instructions that tell the abnormal blood cell to produce too much of a protein called tyrosine kinase. Tyrosine kinase promotes cancer by allowing certain blood cells to grow out of control,BCR-ABL جین میں ایسی ہدایات ہوتی ہیں جو خون کے غیر معمولی خلیے کو ٹائروسین کناز نامی پروٹین کی بہت زیادہ مقدار پیدا کرنے کے لیے بتاتی ہیں۔ Tyrosine kinase بعض خون کے خلیات کو کنٹرول سے باہر بڑھنے کی اجازت دے کر کینسر کو فروغ دیتا ہے۔
Bence Jones Protein (Urine),Test,Chem & Immuno,Urine,,"Bence-Jones proteins are rarely found in urine. If they are, it is usually associated with multiple myeloma. An abnormal result may also be due to: An abnormal buildup of proteins in tissues and organs","پیشاب میں بینس جونز پروٹین شاذ و نادر ہی پائے جاتے ہیں۔ اگر وہ ہیں، تو یہ عام طور پر ایک سے زیادہ مائیلوما سے منسلک ہوتا ہے۔ ایک غیر معمولی نتیجہ اس کی وجہ سے بھی ہو سکتا ہے: ٹشوز اور اعضاء میں پروٹین کی غیر معمولی تعمیر"
Benzodiazepines (Urine Random/Spot),Test,Chem & Immuno,Urine,,This is a urine test to check for a type of medicine called benzodiazepine.,یہ ایک قسم کی دوائی کی جانچ کرنے کے لیے پیشاب کا ٹیسٹ ہے جسے بینزوڈیازپائن کہتے ہیں۔
Beta 2 Glycoprotein-1 IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Beta-2 glycoprotein 1 antibody tests are primarily used along with cardiolipin antibody and lupus anticoagulant testing to help diagnose: Antiphospholipid syndrome (APS) The cause of an unexplained blood clot (thrombotic episode) The cause of recurrent miscarriages in women.,Beta-2 glycoprotein 1 اینٹی باڈی ٹیسٹ بنیادی طور پر کارڈیو لیپین اینٹی باڈی اور lupus anticoagulant ٹیسٹنگ کے ساتھ تشخیص میں مدد کے لیے استعمال کیے جاتے ہیں: Antiphospholipid syndrome (APS) ایک نامعلوم خون کے جمنے کی وجہ (thrombotic episode) خواتین میں بار بار ہونے والے اسقاط حمل کی وجہ۔
Beta 2 Glycoprotein-1 IgM,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Beta-2 glycoprotein 1 antibody tests are primarily used along with cardiolipin antibody and lupus anticoagulant testing to help diagnose: Antiphospholipid syndrome (APS) The cause of an unexplained blood clot (thrombotic episode) The cause of recurrent miscarriages in women.,Beta-2 glycoprotein 1 اینٹی باڈی ٹیسٹ بنیادی طور پر کارڈیو لیپین اینٹی باڈی اور lupus anticoagulant ٹیسٹنگ کے ساتھ تشخیص میں مدد کے لیے استعمال کیے جاتے ہیں: Antiphospholipid syndrome (APS) ایک نامعلوم خون کے جمنے کی وجہ (thrombotic episode) خواتین میں بار بار ہونے والے اسقاط حمل کی وجہ۔
Beta D Glucan,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Beta-D-glucan is commonly used as adjunct evidence to diagnose invasive fungal infections.,Beta-D-glucan کو عام طور پر ناگوار فنگل انفیکشن کی تشخیص کے لیے منسلک ثبوت کے طور پر استعمال کیا جاتا ہے۔
Beta HCG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Beta-hCG is a shorthand term for a blood test used to measure hCG levels in early pregnancy. HCG is a hormone that is present in pregnancy.,Beta-hCG خون کے ٹیسٹ کے لیے ایک شارٹ ہینڈ اصطلاح ہے جو ابتدائی حمل میں hCG کی سطح کی پیمائش کے لیے استعمال ہوتی ہے۔ HCG ایک ہارمون ہے جو حمل میں موجود ہوتا ہے۔
Beta HCG (Male),Test,Chem & Immuno,Serum (Gel / Yellow Vial),, A serum test used as a tumor marker for testicular carcinoma. Beta-HCG levels are never found in normal men. When the presence of β-HCG is detected in serum it always indicates a malignancy.,ورشن کارسنوما کے لیے ٹیومر مارکر کے طور پر استعمال ہونے والا سیرم ٹیسٹ۔ بیٹا ایچ سی جی کی سطح عام مردوں میں کبھی نہیں پائی جاتی ہے۔ جب سیرم میں β-HCG کی موجودگی کا پتہ چلتا ہے تو یہ ہمیشہ ایک مہلکیت کی نشاندہی کرتا ہے۔
Beta-2 Microglobulin,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A beta-2 microglobulin tumor marker test measures the amount of a protein called beta-2 microglobulin (B2M) in your body fluids.,بیٹا-2 مائیکروگلوبلین ٹیومر مارکر ٹیسٹ آپ کے جسم کے سیالوں میں بیٹا-2 مائیکروگلوبلین (B2M) نامی پروٹین کی مقدار کی پیمائش کرتا ہے۔
Bicarbonates (HCO3) (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Any disease or condition that affects the lungs, kidneys, metabolism, or breathing has the potential to cause acidosis or alkalosis. It gives your doctor a rough estimate of your acid-base balance","کوئی بھی بیماری یا حالت جو پھیپھڑوں، گردے، میٹابولزم، یا سانس لینے کو متاثر کرتی ہے اس میں تیزابیت یا الکالوسس کا امکان ہوتا ہے۔ یہ آپ کے ڈاکٹر کو آپ کے ایسڈ بیس بیلنس کا تخمینہ دیتا ہے۔"
Bile Acid (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"The bile acid test is a very useful test that helps to determine if the liver is working properly. The bile acid test is based on the principle that a healthy liver can ""recycle"" bile acids, while a damaged or defective liver cannot.","بائل ایسڈ ٹیسٹ ایک بہت مفید ٹیسٹ ہے جو اس بات کا تعین کرنے میں مدد کرتا ہے کہ آیا جگر ٹھیک سے کام کر رہا ہے۔ بائل ایسڈ ٹیسٹ اس اصول پر مبنی ہے کہ ایک صحت مند جگر بائل ایسڈ کو ""ری سائیکل"" کر سکتا ہے، جبکہ خراب یا خراب جگر ایسا نہیں کر سکتا۔"
Bile Pigment,Test,Chem & Immuno,Urine,,A test used to detect the presence of bile pigments in urine. Bile is a type of digestive enzyme produced by the liver and helps in the digestion of fat and cholesterol ingested into our system from food stuff,پیشاب میں بائل پگمنٹس کی موجودگی کا پتہ لگانے کے لیے استعمال ہونے والا ٹیسٹ۔ بائل ایک قسم کا ہاضمہ انزائم ہے جو جگر کے ذریعہ تیار کیا جاتا ہے اور کھانے کی چیزوں سے ہمارے نظام میں داخل ہونے والی چربی اور کولیسٹرول کو ہضم کرنے میں مدد کرتا ہے۔
Bile Salt,Test,Chem & Immuno,Urine,,the Bile Salt test is used to measure the level of bile salts in blood/urine. The test is performed to confirm liver disorder and Pruritis in pregnancy,بائل سالٹ ٹیسٹ خون/پیشاب میں بائل نمکیات کی سطح کی پیمائش کے لیے استعمال کیا جاتا ہے۔ یہ ٹیسٹ حمل میں جگر کی خرابی اور خارش کی تصدیق کے لیے کیا جاتا ہے۔
Bilirubin Direct (Conj),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Higher levels of direct bilirubin in your blood may indicate your liver isn't clearing bilirubin properly. This may indicate liver damage or disease. ,آپ کے خون میں براہ راست بلیروبن کی اعلی سطح اس بات کی نشاندہی کر سکتی ہے کہ آپ کا جگر بلیروبن کو ٹھیک سے صاف نہیں کر رہا ہے۔ یہ جگر کے نقصان یا بیماری کی نشاندہی کرسکتا ہے۔
Bilirubin INDirect (UnConj),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Indirect bilirubin is the difference between total and direct bilirubin. Common causes of higher indirect bilirubin include: Hemolytic anemia. This means your body is getting rid of too many red blood cells. ,بالواسطہ بلیروبن کل اور براہ راست بلیروبن کے درمیان فرق ہے۔ زیادہ بالواسطہ بلیروبن کی عام وجوہات میں شامل ہیں: ہیمولٹک انیمیا۔ اس کا مطلب ہے کہ آپ کا جسم بہت زیادہ سرخ خون کے خلیات سے نجات پا رہا ہے۔
Bilirubin Total,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This is a blood test that measures the amount of a substance called bilirubin. This test is used to find out how well your liver is working. It is often part of a panel of tests that measure liver function.,یہ ایک خون کا ٹیسٹ ہے جو بلیروبن نامی مادے کی مقدار کی پیمائش کرتا ہے۔ اس ٹیسٹ کا استعمال یہ جاننے کے لیے کیا جاتا ہے کہ آپ کا جگر کتنی اچھی طرح سے کام کر رہا ہے۔ یہ اکثر ٹیسٹوں کے پینل کا حصہ ہوتا ہے جو جگر کے کام کی پیمائش کرتا ہے۔
Biopsy (Kidney/IHC/IF),Test,Histopathology,Biopsy,,Biopsy of kidney is recommended if kidney disease is suspected,اگر گردے کی بیماری کا شبہ ہو تو گردے کی بایپسی کی سفارش کی جاتی ہے۔
Biopsy (Large),Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Biopsy (medium),Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Biopsy (small),Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
"Biopsy (TURBT, TURPT, AXILLARY CLEARENCE)",Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
"Biopsy (Uterus, MRM, Lumpectomy, )",Test,Histopathology,Biopsy,,Biopsy of uterus is recommended to diagnose certain diseases,بعض بیماریوں کی تشخیص کے لیے رحم کی بایپسی کی سفارش کی جاتی ہے۔
"Biopsy (X-Large) Cystectomy, Amupation, Prostectomy",Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
"Biopsy IF,IHC",Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Biopsy with IHC Large Panel (More than 5 Markers),Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Biopsy with IHC Medium Panel (Upto 4 Markers),Test,Histopathology,Tissue,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Biopsy with IHC Small Panel (upto 3 Markers),Test,Histopathology,Biopsy,,Biopsy test is done to detect certain diseases,بایوپسی ٹیسٹ بعض بیماریوں کا پتہ لگانے کے لیے کیا جاتا ہے۔
Bleeding Time,Test,Hematology,Plasma (Sodium Citrate / Blue Vial),,Bleeding time is a medical test that measures how fast small blood vessels in the skin stop bleeding. The bleeding time test is used to evaluate how well a person's blood is clotting,خون بہنے کا وقت ایک طبی ٹیسٹ ہے جو اس بات کی پیمائش کرتا ہے کہ جلد میں خون کی چھوٹی نالیاں کتنی تیزی سے خون بہنا بند کرتی ہیں۔ خون بہنے کے وقت کا ٹیسٹ یہ جانچنے کے لیے استعمال کیا جاتا ہے کہ کسی شخص کا خون کتنی اچھی طرح سے جم رہا ہے۔
Block(s) Request for Patient (all block(s) Charges,Test,Histopathology,Others,,Histopathology tests require blocks to diagnose diseases,ہسٹوپیتھولوجی ٹیسٹوں میں بیماریوں کی تشخیص کے لیے بلاکس کی ضرورت ہوتی ہے۔
Blood C/E (CBC with Blood Flim Review ),Test,Hematology,Plasma (EDTA / Purple Tube),,A complete blood picture which provides an overview of all cells in blood and is important in diagnosing all diseases,ایک مکمل خون کی تصویر جو خون کے تمام خلیوں کا جائزہ فراہم کرتی ہے اور تمام بیماریوں کی تشخیص میں اہم ہے۔
Blood Donor Profile Elisa Screening,Test,Blood Bank-Transfusion Medicine,Plasma (EDTA / Purple Tube),,Tests performed on donor to check their health status , عطیہ دہندگان پر ان کی صحت کی حالت جانچنے کے لیے ٹیسٹ کیے گئے۔
Blood for C/S Aerobic (Bacterial Culture & Sensitivity),Test,Microbiology,Blood (Aerobic Culture Bottle),,This test is used to detect bacterial growth in blood,یہ ٹیسٹ خون میں بیکٹیریا کی نشوونما کا پتہ لگانے کے لیے استعمال ہوتا ہے۔
Blood for Microflaria (Mid night Specimen),Test,Hematology,Whole Blood,,"Used to detect microorganism that cause ""lymphatic filariasis""  whichcirculate in the blood at night . Blood collection should be done at night to coincide with the appearance of the microfilariae, and diagnosis is made","مائکروجنزم کا پتہ لگانے کے لئے استعمال کیا جاتا ہے جو ""لیمفیٹک فائلریاسس"" کا سبب بنتا ہے جو رات کو خون میں گردش کرتا ہے۔ خون جمع کرنا رات کو کیا جانا چاہئے تاکہ مائکروفیلیریا کی ظاہری شکل کے مطابق ہو، اور تشخیص کی جائے"
Blood Group & Cross Match (single Donor),Test,Blood Bank-Transfusion Medicine,Plasma (EDTA / Purple Tube),,This is a set of tests that looks for harmful interactions between your blood and donor blood. The tests are done before a blood transfusion.,یہ ٹیسٹوں کا ایک مجموعہ ہے جو آپ کے خون اور عطیہ کرنے والے خون کے درمیان نقصان دہ تعاملات کو تلاش کرتا ہے۔ خون کی منتقلی سے پہلے ٹیسٹ کیے جاتے ہیں۔
Blood Group & Rh Factor,Test,Hematology,Plasma (EDTA / Purple Tube),,"Blood group test is done to find out blood type. Rh factor is an inherited protein found on the surface of red blood cells. If your blood has the protein, you're Rh positive. If your blood doesn't have the protein, you're Rh negative.",خون کی قسم معلوم کرنے کے لیے بلڈ گروپ ٹیسٹ کیا جاتا ہے۔ آر ایچ فیکٹر ایک وراثتی پروٹین ہے جو خون کے سرخ خلیوں کی سطح پر پایا جاتا ہے۔ اگر آپ کے خون میں پروٹین ہے تو آپ Rh مثبت ہیں۔ اگر آپ کے خون میں پروٹین نہیں ہے تو آپ Rh منفی ہیں۔
Blood Sugar (Urine),Test,Chem & Immuno,Urine,,The glucose urine test measures the amount of sugar (glucose) in a urine sample. The presence of glucose in the urine is called glycosuria or glucosuria. Glucose level can also be measured using a blood test or a cerebrospinal fluid test ,گلوکوز پیشاب ٹیسٹ پیشاب کے نمونے میں شوگر (گلوکوز) کی مقدار کی پیمائش کرتا ہے۔ پیشاب میں گلوکوز کی موجودگی کو گلوکوزوریا یا گلوکوزوریا کہا جاتا ہے۔ گلوکوز کی سطح کو خون کے ٹیسٹ یا دماغی اسپائنل فلوئڈ ٹیسٹ کے ذریعے بھی ماپا جا سکتا ہے۔
Blood Sugar Fasting (BSF),Test,Chem & Immuno,Plasma (Sodium Floride / Gray Tube),,This test is used to detect glucose levels after fasting for 12 hours. It is important for diagnosis of Diabetes Mellitus,یہ ٹیسٹ 12 گھنٹے تک روزہ رکھنے کے بعد گلوکوز کی سطح کا پتہ لگانے کے لیے استعمال کیا جاتا ہے۔ ذیابیطس میلیتس کی تشخیص کے لیے یہ ضروری ہے۔
Blood Sugar Random (BSR),Test,Chem & Immuno,Plasma (Sodium Floride / Gray Tube),,This test is used to detect glucose levels. It is important for diagnosis of Diabetes Mellitus,یہ ٹیسٹ گلوکوز کی سطح کا پتہ لگانے کے لیے استعمال کیا جاتا ہے۔ ذیابیطس میلیتس کی تشخیص کے لیے یہ ضروری ہے۔
Blood Urea Nitrogen (BUN),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,The BUN test measures the amount of urea nitrogen in your blood. Urea nitrogen is a waste product that your kidneys remove from your blood. Higher than normal BUN levels may be a sign that your kidneys aren't working well.,BUN ٹیسٹ آپ کے خون میں یوریا نائٹروجن کی مقدار کی پیمائش کرتا ہے۔ یوریا نائٹروجن ایک فضلہ کی مصنوعات ہے جسے آپ کے گردے آپ کے خون سے نکال دیتے ہیں۔ عام BUN کی سطح سے زیادہ ہونا اس بات کی علامت ہو سکتی ہے کہ آپ کے گردے ٹھیک کام نہیں کر رہے ہیں۔
BNP (Plasma),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,Brain natriuretic peptide (BNP) test is a blood test that measures levels of a protein called BNP that is made by your heart and blood vessels. BNP levels are higher than normal when you have heart failure.,برین نیٹریورٹک پیپٹائڈ (BNP) ٹیسٹ ایک خون کا ٹیسٹ ہے جو BNP نامی پروٹین کی سطح کی پیمائش کرتا ہے جو آپ کے دل اور خون کی نالیوں کے ذریعہ بنایا جاتا ہے۔ جب آپ کو دل کی ناکامی ہوتی ہے تو BNP کی سطح معمول سے زیادہ ہوتی ہے۔
BNP Pro (N-t) II,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Brain natriuretic peptide PRO (BNP) test is a blood test that measures levels of a protein called BNP that is made by your heart and blood vessels. BNP levels are higher than normal when you have heart failure.,برین نیٹریوریٹک پیپٹائڈ پی آر او (بی این پی) ٹیسٹ ایک خون کا ٹیسٹ ہے جو بی این پی نامی پروٹین کی سطح کی پیمائش کرتا ہے جو آپ کے دل اور خون کی نالیوں سے بنتا ہے۔ جب آپ کو دل کی ناکامی ہوتی ہے تو BNP کی سطح معمول سے زیادہ ہوتی ہے۔
Bone For C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Others,,Culture is performed on bone sample to detect bacterial growth,بیکٹیریا کی افزائش کا پتہ لگانے کے لیے ہڈیوں کے نمونے پر کلچر کیا جاتا ہے۔
Bone Marrow Biopsy (Procedure & Reporting),Test,Hematology,Others,,"Bone marrow aspiration and bone marrow biopsy can show whether your bone marrow is healthy and making normal amounts of blood cells. Doctors use these procedures to diagnose and monitor blood and marrow diseases, including some cancers, as well as fevers of unknown origin","بون میرو اسپائریشن اور بون میرو بایپسی یہ دکھا سکتے ہیں کہ آیا آپ کا بون میرو صحت مند ہے اور خون کے خلیات کی معمول کی مقدار بنا رہا ہے۔ ڈاکٹر ان طریقہ کار کو خون اور میرو کی بیماریوں کی تشخیص اور نگرانی کے لیے استعمال کرتے ہیں، بشمول کچھ کینسر، اور ساتھ ہی نامعلوم اصل کے بخار"
BRAF (Q-PCR),Test,Molecular,Others,,A BRAF mutation is a change in a BRAF gene. That change in the gene can lead to an alteration in a protein that regulates cell growth that could allow the melanoma to grow more aggressively.,BRAF اتپریورتن BRAF جین میں تبدیلی ہے۔ جین میں یہ تبدیلی ایک پروٹین میں تبدیلی کا باعث بن سکتی ہے جو خلیوں کی نشوونما کو منظم کرتی ہے جو میلانوما کو زیادہ جارحانہ طور پر بڑھنے کی اجازت دیتی ہے۔
BRCA1 & BRCA2 (NGS),Test,Histopathology,Others,,"the BRCA1 and BRCA2 genes protect you from getting certain cancers. But some mutations in the BRCA1 and BRCA2 genes prevent them from working properly, so that if you inherit one of these mutations, you are more likely to get breast, ovarian, and other cancers.","بی آر سی اے 1 اور بی آر سی اے 2 جینز آپ کو بعض کینسر ہونے سے بچاتے ہیں۔ لیکن بی آر سی اے 1 اور بی آر سی اے 2 جینز میں کچھ تغیرات انہیں صحیح طریقے سے کام کرنے سے روکتے ہیں، تاکہ اگر آپ کو ان میں سے ایک میوٹیشن وراثت میں ملتی ہے، تو آپ کو چھاتی، بیضہ دانی اور دیگر کینسر ہونے کا امکان زیادہ ہوتا ہے۔"
Breast cyst for AFB stain/ZN stain,Test,Histopathology,Tissue,,Breast lump is tested and stained for diagnosing TB and other diseases,ٹی بی اور دیگر بیماریوں کی تشخیص کے لیے چھاتی کے گانٹھ کا ٹیسٹ کیا جاتا ہے اور اس پر داغ لگایا جاتا ہے۔
Bronchial Washing for  Sensitivity,Test,Microbiology,Body Fluid,,Fluid in bronchi is cultured for bacterial growth to diagnose infections,برونچی میں سیال کو بیکٹیریا کی نشوونما کے لیے انفیکشن کی تشخیص کے لیے تیار کیا جاتا ہے۔
Bronchial Washing for AFB C/S (Mycobacterium Tuberculosis),Test,Microbiology,Body Fluid,,Fluid from bronchi is cultured to diagnose TB,ٹی بی کی تشخیص کے لیے برونچی سے نکلنے والے سیال کو کلچر کیا جاتا ہے۔
Bronchial Washing for Analysis ,Test,Microbiology,Body Fluid,,Fluid from bronchi is analysed for any abnormality or blood to diagnose lung diseases,پھیپھڑوں کی بیماریوں کی تشخیص کے لیے برونچی سے نکلنے والے سیال کا تجزیہ کسی غیر معمولی یا خون کے لیے کیا جاتا ہے۔
Bronchial Washing for C/S (Anaerobic) (Bacterial Culture & Sensitivity),Test,Microbiology,Body Fluid,,Fluid in bronchi is cultured for bacterial growth to diagnose infections,برونچی میں سیال کو بیکٹیریا کی نشوونما کے لیے انفیکشن کی تشخیص کے لیے تیار کیا جاتا ہے۔
Bronchial Washing for Cytology,Test,Histopathology,Body Fluid,,Fluid from bronchi is analysed for any abnormality or blood to diagnose lung diseases,پھیپھڑوں کی بیماریوں کی تشخیص کے لیے برونچی سے نکلنے والے سیال کا تجزیہ کسی غیر معمولی یا خون کے لیے کیا جاتا ہے۔
Bronchial Wasing for AFB stain / ZN stain,Test,Microbiology,Body Fluid,,Bronchial fluid is collected and stained to detect any micro-organism growth,کسی بھی مائکرو آرگنزم کی نشوونما کا پتہ لگانے کے لئے برونکیل سیال کو جمع کیا جاتا ہے اور داغ دیا جاتا ہے۔
Bronchoalveolar Lavage C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Others,,Fluid from lungs is stained to detect micro-organism growth and diagnose diseases,پھیپھڑوں سے نکلنے والے رطوبت کو مائکرو آرگنزم کی نشوونما کا پتہ لگانے اور بیماریوں کی تشخیص کے لیے داغ دیا جاتا ہے۔
Brucella Abs (IgG  & IgM),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies produced against Brucella are detected.Brucellosis is an infectious disease caused by bacteria. People can get the disease when they are in contact with infected animals or animal products contaminated with the bacteria.,بروسیلا کے خلاف پیدا ہونے والی اینٹی باڈیز کا پتہ چل جاتا ہے۔ بروسیلوسس ایک متعدی بیماری ہے جو بیکٹیریا کی وجہ سے ہوتی ہے۔ لوگوں کو یہ بیماری اس وقت ہو سکتی ہے جب وہ متاثرہ جانوروں یا بیکٹیریا سے آلودہ جانوروں کی مصنوعات کے رابطے میں ہوں۔
Brucella Abs (IgM),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies produced against Brucella are detected.Brucellosis is an infectious disease caused by bacteria. People can get the disease when they are in contact with infected animals or animal products contaminated with the bacteria.,بروسیلا کے خلاف پیدا ہونے والی اینٹی باڈیز کا پتہ چل جاتا ہے۔ بروسیلوسس ایک متعدی بیماری ہے جو بیکٹیریا کی وجہ سے ہوتی ہے۔ لوگوں کو یہ بیماری اس وقت ہو سکتی ہے جب وہ متاثرہ جانوروں یا بیکٹیریا سے آلودہ جانوروں کی مصنوعات کے رابطے میں ہوں۔
C Peptide,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,C-peptide level is based on blood sugar level. C-peptide is a sign that your body is producing insulin. A low level (or no C-peptide) indicates that your pancreas is producing little or no insulin.,سی پیپٹائڈ لیول بلڈ شوگر لیول پر مبنی ہے۔ سی پیپٹائڈ اس بات کی علامت ہے کہ آپ کا جسم انسولین پیدا کر رہا ہے۔ کم سطح (یا کوئی سی پیپٹائڈ نہیں) اس بات کی نشاندہی کرتا ہے کہ آپ کا لبلبہ کم یا کم انسولین پیدا کر رہا ہے۔
C2 Monitoring (Whole Blood),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"C2 is a component of the complement system, a part of the body’s innate immune system. Itis ordered to detect and diagnose a deficiency of C2 that could be associated with immune complex and rheumatic diseases. C2 deficiency, which can be hereditary or acquired, is the most common complement deficiency.Conditions associated with a C2 deficiency include discoid lupus erythematosus (DLE) or systemic lupus erythematosus (SLE), vasculitis (inflammation of the blood vessels), dermatomyositis (inflammation of the muscles and skin), glomerulonephritis (inflammation of the kidneys’ filters), and  atrophoderma (skin atrophy). "," C2 تکمیلی نظام کا ایک جزو ہے، جسم کے پیدائشی مدافعتی نظام کا ایک حصہ۔ اسے C2 کی کمی کا پتہ لگانے اور اس کی تشخیص کرنے کا حکم دیا گیا ہے جو مدافعتی پیچیدہ اور گٹھیا کی بیماریوں سے وابستہ ہو سکتی ہے۔ C2 کی کمی، جو موروثی یا حاصل کی جا سکتی ہے، سب سے عام تکمیلی کمی ہے۔ C2 کی کمی کے ساتھ منسلک حالات میں ڈسکوائیڈ لیوپس ایریٹیمیٹوسس (DLE) یا سیسٹیمیٹک lupus erythematosus (SLE)، vasculitis (خون کی نالیوں کی سوزش)، dermatomyositis (dermatomyositis) شامل ہیں۔ پٹھوں اور جلد کی)، گلوومیرولونفرائٹس (گردوں کے فلٹرز کی سوزش)، اور ایٹروفڈرما (جلد کی ایٹروفی)۔"
CA 125,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A CA 125 test measures the amount of the protein CA 125 (cancer antigen 125) in the blood. This test may be used to monitor certain cancers,CA 125 ٹیسٹ خون میں پروٹین CA 125 (کینسر اینٹیجن 125) کی مقدار کی پیمائش کرتا ہے۔ یہ ٹیسٹ بعض کینسروں کی نگرانی کے لیے استعمال کیا جا سکتا ہے۔
CA 15-3,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Cancer antigen 15-3 (CA15-3) is a protein made by a variety of cells, particularly breast cancer cells. The protein moves into the blood, where it can be measured","کینسر اینٹیجن 15-3 (CA15-3) ایک پروٹین ہے جو مختلف قسم کے خلیات، خاص طور پر چھاتی کے کینسر کے خلیات کے ذریعے بنایا جاتا ہے۔ پروٹین خون میں منتقل ہوتا ہے، جہاں اس کی پیمائش کی جا سکتی ہے۔"
CA 19-9,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A CA 19-9 test measures the amount of a protein called CA 19-9 (cancer antigen 19-9) in a sample of your blood. CA 19-9 is a type of tumor marker. Tumor markers are substances made by cancer cells or by normal cells in response to cancer in your body.,CA 19-9 ٹیسٹ آپ کے خون کے نمونے میں CA 19-9 (کینسر اینٹیجن 19-9) نامی پروٹین کی مقدار کی پیمائش کرتا ہے۔ CA 19-9 ٹیومر مارکر کی ایک قسم ہے۔ ٹیومر مارکر آپ کے جسم میں کینسر کے ردعمل میں کینسر کے خلیوں یا عام خلیوں کے ذریعہ بنائے گئے مادے ہیں۔
CA 19-9 (Body Fluid),Test,Chem & Immuno,Body Fluid,,"It is a tumor marker used for detection of pancreatic, gallbladder, lungs or colon","یہ ایک ٹیومر مارکر ہے جو لبلبے، پتتاشی، پھیپھڑوں یا بڑی آنت کا پتہ لگانے کے لیے استعمال ہوتا ہے۔"
